Car-Id,Gate-Name,Measure Values
20154112014114-381,camping6,14
20154112014114-381,entrance0,14
20154112014114-381,general-gate1,14
20154112014114-381,general-gate2,14
20154112014114-381,general-gate5,14
20154112014114-381,ranger-stop0,14
20154112014114-381,ranger-stop2,14
20154519024544-322,camping4,32
20154519024544-322,entrance1,1
20154519024544-322,entrance4,31
20154519024544-322,general-gate1,31
20154519024544-322,general-gate2,31
20154519024544-322,general-gate4,31
20154519024544-322,general-gate5,31
20154519024544-322,general-gate7,31
20154519024544-322,ranger-stop0,31
20154519024544-322,ranger-stop2,31
20155705025759-63,camping0,4
20155705025759-63,camping1,2
20155705025759-63,camping2,6
20155705025759-63,camping3,4
20155705025759-63,camping4,4
20155705025759-63,camping5,3
20155705025759-63,camping6,4
20155705025759-63,entrance0,1
20155705025759-63,general-gate0,2
20155705025759-63,general-gate1,6
20155705025759-63,general-gate2,6
20155705025759-63,general-gate4,5
20155705025759-63,general-gate5,4
20155705025759-63,general-gate7,7
20155705025759-63,ranger-stop0,6
20155705025759-63,ranger-stop2,6
